name,infrastructure_type,latitude,longitude
Ammapet B 6  Police Station,police,11.6530298,78.1617852
Ammapet B 6  Police Station,police,11.6590023,78.1816097
Annadanapatti B 4 Police Station,police,11.6424031,78.1404779
Attayampati C 1 Police Station,police,11.5313534,78.050867
Hastampatti B 7 Police Station,police,11.6778088,78.1645798
Kannankurichi B 8 Police Station,police,11.6967465,78.1769759
Karipatti Police Station,police,9.6771157,78.1034294
Kitchipalayam B 5 Police Station,police,11.6472529,78.1702578
Mallur Police Station,police,11.5452987,78.1428828
Palapatti B 10 Police Station,police,11.6699556,78.1394849
Panamarathupatti Police Station,police,11.5614945,78.1639663
Police Control Room Police Station,police,11.6425701,78.1459515
Suramangalam Police Station,police,11.6708007,78.1168863
Shevapet B 2 Police Station,police,11.6514754,78.1522608
Veeranam Police Station,police,11.6862224,78.2128652
Women Ammapet W 2 Police Station,police,11.6590617,78.1818592
Women Salem Town W 1 Police Station,police,11.654013,78.1601008
police station s11,police,12.9254171,80.1128984
Somangalam police station,police,12.9459306,80.0355638
thiroporur police station,police,12.7236799,80.1887292
Uthiranerur police station,police,12.6162879,79.7537657
Acirapakkam Police Station,police,12.403834,79.8174314
Sriperumbudur Police Station,police,12.9637993,79.9491741
,hospital,10.8570027,78.6914604
Cheyyar Police Station,police,12.6667419,79.540611
J.J Nagar Police Booth (V3),police,13.0876952,80.1878894
Anna Nagar Police Station,police,9.9354414,78.1442838
D6 Police Station,police,12.7890654,80.0309867
,police,12.432521,79.8317603
Orathi Police Station,police,12.3806752,79.6928343
Thalambur Police Station,police,12.8469006,80.2271771
,police,10.9875675,76.963933
central Government railway Hospital,hospital,10.7857499,78.7251483
Temple police station,police,9.2893241,79.3185256
Vijaya Hospitals,hospital,11.0148532,76.9489909
Chennai Medical Centre Hospital,hospital,13.0380047,80.1889685
SRM Institutes For Medical Science,hospital,13.0515961,80.2114304
,hospital,11.2926106,76.9402005
Guru Hospital,hospital,9.9434826,78.1647715
"Shri Hari Hospital, Coimbatore",hospital,11.0265248,76.9475939
,hospital,10.9601709,78.0795997
Rps Hospital,hospital,11.6260528,78.1474921
??????????? ?????,hospital,11.625344,78.146058
,hospital,11.6157985,78.1450327
,police,11.6187962,78.1446278
,police,11.6336943,78.1495015
,hospital,11.6290872,78.1485012
,police,11.6422125,78.1454129
,hospital,11.4404293,77.6929756
,police,11.454985,77.4270905
,hospital,11.6331862,78.1268849
Joseph Eye Hospital (Institute Of Ophthalmology),hospital,10.8020383,78.6915667
,police,10.8266164,78.6946494
Krishna Hospital,hospital,10.7987855,78.7517146
West Police Station,police,9.5924531,77.9534737
Vivekanandha,hospital,13.1108976,80.0952836
Bethesda Hospital,hospital,11.0354039,76.9304803
"Kiruba Hospital, Koilmedu,Coimbatore",hospital,11.0335068,76.929457
,police,8.0810373,77.5337547
,police,11.0528309,77.9221892
,police,10.7895835,78.6803313
kasthuriba hospital,hospital,10.2793566,77.9225713
G R Hospital,hospital,11.0093491,77.0024216
,police,9.9105636,78.1495967
Acchutha Eye Care,hospital,11.33176,77.7202562
Vellore Fire station,fire_station,12.9141234,79.1312446
Viruthampattu police station,police,12.9534269,79.1414205
Gandhi Market Police Station,police,10.8161795,78.6944015
TNAU Hospital,hospital,11.0080012,76.9362691
,police,11.7189488,79.7696453
,hospital,11.7144282,79.7689069
government child health center,hospital,12.9241666,80.1274453
Christdas hospital,hospital,12.9229715,80.1298204
Arakkonam Government General Hospital,hospital,13.0849714,79.6647558
Arakkonam Town Police Station,police,13.0838611,79.6699654
"Velu Hospital, Arakkonam",hospital,13.08485,79.6679233
"Kumaran Hospital, Arakkonam",hospital,13.0868288,79.6640745
HEALTH,hospital,13.0135999,80.2395364
"Vasan Eye Care Hospital, Kanniyakumari",hospital,8.1906311,77.4356304
Srinivasa Hospitals,hospital,8.201188,77.4552358
Ashwin clinic,hospital,10.8016445,78.7428121
Santhosh Hospital,hospital,8.7622984,77.7096196
Vinayaka mission Kirubananadah variyar medical college hospital,hospital,11.584984,78.0618417
,hospital,13.1133021,80.2905249
,hospital,11.087657,77.003366
,police,12.4904347,80.1585715
,hospital,12.9934355,79.3311544
Franklin Hospital,hospital,8.1914508,77.3975965
